"Timestamp","1. What field are you in?","2. Which sector are you working in","3. What is Your Sex ","4.    What is your level of experience?","5. Are you a Paid Up Member of The Economics Association of Zambia (EAZ)?","6. Have you applied for EAZ membership?","7. You have registered as a user on the EAZ website, what was the reason for your registration?","8. Are you willing to apply and pay for membership?","9. If you answered “No” to the question above, explain the reason why","10. What assistance would you require to complete the registration process.","11. What has prevented you from applying for EAZ membership?","12. Are you aware of the benefits and opportunities that EAZ membership offers? ","13. What is your interest on the website?","14. On a scale of 1 to 5, how would you rate your willingness to pay for EAZ membership, with 1 being ""Not willing at All"" and 5 being ""Very Willing""? (1-5)","15. What factors have prevented you from activating your EAZ membership?","16. What specific incentives or changes could encourage you to activate your membership?","17. Please select your membership category from the following options","18. Which of these methods of sponsorship apply to you","19. On a Scale of 1 to 5  with 1 being not willing at all and 5 very willing, Are you willing to continue paying for the membership fees required for your specific EAZ category?  ","20. Based on your Answer to Question 19 above, give a reason for your answer.","21. On a Scale of 1 to 5 with 1 being not willing at all and 5 very willing, Are you willing to pay the membership fees for yourself? ","22. Based on your Answer to the Question above, Give a reason for your answer","23. On a scale of 1 to 5, with 1 being ""Not involved at All"" and 5 being ""Highly Involved,"" how involved are you in EAZ activities within your category?","24. What benefits would you like to receive from EAZ that you are not getting?","25. How can EAZ improve communication and engagement with members in your specific category? ","26. What recommendations would you make regarding the improvement of EAZ’s membership structure and activities within the category? "
"2023/12/22 11:00:38 am EET","Economics related field","Private Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Junior","Self- sponsored (Proceed to Q19)","5","Because the association has many benefits for networking, collaboration, advocacy and learning","5","i learn a lot, networking and joint advocacy","3","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","Afrikaconnector would like to place EAZ members on the online directory and business listing "
"2023/12/22 11:04:07 am EET","Economics","Private Sector","Female","Above 10 Years","No","No","I am interested in both response above but just ddnt pay this year. ","Yes","","","","No","Information on economic trends","","","","","","","","","","","","",""
"2023/12/22 11:04:13 am EET","Economics","Private Sector","Female","5-10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","4","I like being a part of the association ","5","Board placements for senior membership;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal","Timely notifications "
"2023/12/22 11:06:02 am EET","Economics","Public Sector","Male","5-10 Years","Yes","","","","","","","","","","","","Junior","Self- sponsored (Proceed to Q19)","3","Because I stay in a remote area where there are no banks to make the deposits. Besides, I have not been given my membership certificate yet","4","Because I am proud to be an economist and want to always get updated in the country's economic sectors","3","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Employment opportunities","Improved website and member portal",""
"2023/12/22 11:24:09 am EET","Economics related field","Public Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Lack of clear instructions on the activation process.","Create a flexible payment plan","","","","","","","","","",""
"2023/12/22 11:32:59 am EET","Economics related field","Public Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/22 11:33:44 am EET","Economics","Public Sector","Male","0-4 Years","No","No","I want to become a member","No","I do not see the benefits","Online application process","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on workshops, conferences and public discussions conducted by EAZ","","","","","","","","","","","","",""
"2023/12/22 11:43:33 am EET","Economics related field","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Paid for (Proceed to Q21)","","","1","The association is not as active as anticipated","3","Board placements for senior membership;Economy research seminars and consultancies;Conferences and workshops;Collaborative research projects;Industrial tours;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Improved website and member portal","Coming up with an EAZ ACT to ensure adherence to EAZ mandate, roles, requirements, guidelines "
"2023/12/22 12:19:40 pm EET","Economics","Private Sector","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/22 12:25:15 pm EET","Economics","Private Sector","Female","0-4 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on training and employment","","","","","","","","","","","","",""
"2023/12/22 12:25:37 pm EET","Heading a Corporate planning unit in a water and Sanitation company","Public Sector","Male","5-10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","3","We don`t have activity where I am. its like everything just happens in Lusaka","3","","1","Economy research seminars and consultancies;Mentorship programs;Collaborative research projects;Industrial tours;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","Introduction of zone or provincial EAZ committees "
"2023/12/22 12:31:13 pm EET","Economics","Unemployed ","Female","0-4 Years","Yes","","","","","","","","","","","","Junior","Self- sponsored (Proceed to Q19)","1","I am not seeing any benefits from EAZ","1","I am not seeing any benefit ","1","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Skills training and graduate trainee programs;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","Have more engagement meetings "
"2023/12/22 12:45:46 pm EET","Business Administration ","Private Sector","Male","0-4 Years","Yes","","","","","","","","","","","","Junior","Self- sponsored (Proceed to Q19)","5","Contributing to the well being of Zambia's Economy and that of the world at large.","5","Contributing to the well being of Zambia's Economy and that of the world at large.","5","Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Industrial tours;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Personalized communication based on member interests","Junior Economist category needs to have its own leadership. However,this leadership MUST be answerable to the National Executive committee. This will improve efficiency of EAZ"
"2023/12/22 12:51:40 pm EET","Economics","Public Sector","Male","Above 10 Years","Yes","","","","","","","","","","","","Economist","Self- sponsored (Proceed to Q19)","5","The Association needs support to operate efficiently ","5","The Association needs support to operate efficiently ","3","Board placements for senior membership;Economy research seminars and consultancies;Mentorship programs;Conferences and workshops;Collaborative research projects;Industrial tours;Fund raising events and sponsorships;Strategic partners with multinational institutions e.g. World Bank Group (WBG), IMF, EU, AU, BRICS, COMESA, and SADC with the aim of creating capacity for EAZ members across the board.;Employment opportunities","Regular newsletters with updates","Membership intensive engagement "
"2023/12/22 1:09:51 pm EET","Economics","Not working ","Male","0-4 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Fees are too high for the perceived benefits;Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/22 1:31:49 pm EET","Economics","Public Sector","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Lack of adequate information on the payment system;Technical issues or difficulties during the registration process.","Create a flexible payment plan","","","","","","","","","",""
"2023/12/22 1:41:20 pm EET","Economics related field","Private Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Well spelt benefits on membership","","","","","","","","","",""
"2023/12/22 2:11:08 pm EET","Economics","Public Sector","Female","0-4 Years","No","No","I want to become a member","Yes","","Information regarding membership fees and benefits","I haven’t had the opportunity to explore the benefits and advantages of EAZ membership","No","Information on training and employment","","","","","","","","","","","","",""
"2023/12/22 2:12:44 pm EET","Economics related field","Public Sector","Male","Above 10 Years","No","Yes (Proceed to Q14)","","","","","","","","5","Financial constraints","Create a flexible payment plan","","","","","","","","","",""
"2023/12/22 2:13:34 pm EET","Economics","NGO","Male","5-10 Years","No","Yes (Proceed to Q14)","","","","","","","","3","Fees are too high for the perceived benefits","Well spelt benefits on membership","","","","","","","","","",""
